ID,Nome,Titulo,Descricao,Data Inicial,Data Final,Parcelas Pagas,Parcelas,Valor,Status
8692,Eduardo,Grão de Arroz,Ele comprou grão por grão,1941-11-16,1932-06-06,5,12,97.65,false
1659,Eduardo Almeida,Grão de Arroz,Ele comprou grão por grão,1956-05-06,1984-09-19,5,12,779.66,true
5714,Eduardo,Grão de Arroz,Ele comprou grão por grão,1945-11-10,1913-03-25,5,12,773.50,true
5883,Huan Alter,Grão de Arroz,Ele comprou grão por grão,1970-02-21,1998-10-24,5,12,143.52,true
5207,Ana Luiza,Grão de Arroz,Ele comprou grão por grão,1969-05-01,2016-03-08,5,12,737.45,false
5453,Eduardo Almeida,Grão de Arroz,Ele comprou grão por grão,1973-06-24,1919-01-12,5,12,827.97,true
6119,Ana Luiza,Grão de Arroz,Ele comprou grão por grão,2002-09-02,1979-03-06,5,12,164.90,false
5208,Huan Zerton,Grão de Arroz,Ele comprou grão por grão,1937-01-18,2016-10-27,5,12,523.95,false
4017,Huan Zerton,Grão de Arroz,Ele comprou grão por grão,1942-01-23,2022-04-14,5,12,491.27,false
6314,Huan Alter,Grão de Arroz,Ele comprou grão por grão,1971-03-05,1960-08-03,5,12,252.79,true
3379,Huan Alter,Grão de Arroz,Ele comprou grão por grão,2016-06-11,1995-04-24,5,12,723.59,false
4926,Huan Zerton,Grão de Arroz,Ele comprou grão por grão,1981-07-11,1994-03-26,5,12,295.26,false
4788,Eduardo Almeida,Grão de Arroz,Ele comprou grão por grão,2007-01-07,1996-09-09,5,12,529.46,true
1903,Eduardo Almeida,Grão de Arroz,Ele comprou grão por grão,1965-10-20,2022-01-23,5,12,419.30,true
1736,Huan Zerton,Grão de Arroz,Ele comprou grão por grão,1988-11-12,1944-04-18,5,12,146.99,false
7194,Huan Alter,Grão de Arroz,Ele comprou grão por grão,1921-09-26,1995-04-25,5,12,228.76,false
2095,Huan Zerton,Grão de Arroz,Ele comprou grão por grão,1943-10-14,1937-10-10,5,12,593.78,true
4802,Eduardo Almeida,Grão de Arroz,Ele comprou grão por grão,1925-09-16,1992-09-02,5,12,511.25,true
2927,Eduardo,Grão de Arroz,Ele comprou grão por grão,1916-11-12,2017-11-26,5,12,349.82,false
5424,Huan Zerton,Grão de Arroz,Ele comprou grão por grão,1985-02-22,1965-02-26,5,12,186.83,true
7595,Eduardo,Grão de Arroz,Ele comprou grão por grão,2012-01-17,1961-04-25,5,12,333.26,true
8188,Ana Luiza,Grão de Arroz,Ele comprou grão por grão,2021-11-25,1935-08-09,5,12,752.78,false
5005,Huan Zerton,Grão de Arroz,Ele comprou grão por grão,1986-10-14,1913-03-09,5,12,234.59,true
7394,Eduardo,Grão de Arroz,Ele comprou grão por grão,1957-02-22,1949-04-18,5,12,20.09,true
1110,Eduardo Almeida,Grão de Arroz,Ele comprou grão por grão,1910-02-28,1938-07-25,5,12,679.81,false
8394,Ana Luiza,Grão de Arroz,Ele comprou grão por grão,1922-07-22,1991-09-11,5,12,962.41,true
3591,Huan Zerton,Grão de Arroz,Ele comprou grão por grão,1941-04-08,1977-05-19,5,12,825.39,false
9678,Ana Luiza,Grão de Arroz,Ele comprou grão por grão,1901-06-19,1962-09-13,5,12,431.61,false
1599,Eduardo,Grão de Arroz,Ele comprou grão por grão,1919-06-14,1954-06-16,5,12,884.92,false
6892,Eduardo Almeida,Grão de Arroz,Ele comprou grão por grão,1921-10-10,1908-04-21,5,12,554.06,true
7631,Ana Luiza,Grão de Arroz,Ele comprou grão por grão,1908-09-22,1997-05-22,5,12,719.02,true
2485,Eduardo,Grão de Arroz,Ele comprou grão por grão,1902-07-18,2006-04-27,5,12,833.82,false
8020,Huan Zerton,Grão de Arroz,Ele comprou grão por grão,1975-11-06,1983-11-26,5,12,997.82,false
1135,Eduardo,Grão de Arroz,Ele comprou grão por grão,1935-07-08,1936-08-21,5,12,350.39,false
5157,Huan Zerton,Grão de Arroz,Ele comprou grão por grão,1971-10-06,1927-10-17,5,12,685.67,false
5521,Ana Luiza,Grão de Arroz,Ele comprou grão por grão,1958-04-03,1923-05-09,5,12,537.37,true
6429,Huan Zerton,Grão de Arroz,Ele comprou grão por grão,1957-02-24,1930-05-04,5,12,243.85,true
5521,Eduardo,Grão de Arroz,Ele comprou grão por grão,1985-02-27,1974-08-14,5,12,502.01,false
7043,Eduardo Almeida,Grão de Arroz,Ele comprou grão por grão,1934-08-05,1966-05-03,5,12,996.12,false
7680,Eduardo,Grão de Arroz,Ele comprou grão por grão,1998-09-19,1943-09-24,5,12,995.35,false
2193,Huan Zerton,Grão de Arroz,Ele comprou grão por grão,1979-08-23,1980-10-18,5,12,197.88,true
8970,Huan Zerton,Grão de Arroz,Ele comprou grão por grão,1997-11-18,1923-06-12,5,12,145.19,false
3215,Huan Alter,Grão de Arroz,Ele comprou grão por grão,1975-10-25,1935-11-07,5,12,177.79,false
3285,Eduardo Almeida,Grão de Arroz,Ele comprou grão por grão,1907-05-06,2005-05-23,5,12,275.40,false
7326,Ana Luiza,Grão de Arroz,Ele comprou grão por grão,1985-07-26,1985-11-06,5,12,893.77,true
6114,Huan Zerton,Grão de Arroz,Ele comprou grão por grão,1906-02-01,1951-11-21,5,12,612.09,true
1401,Huan Alter,Grão de Arroz,Ele comprou grão por grão,2004-01-24,1919-04-12,5,12,684.06,true
3294,Huan Zerton,Grão de Arroz,Ele comprou grão por grão,1900-05-16,1904-05-22,5,12,729.85,false
5318,Ana Luiza,Grão de Arroz,Ele comprou grão por grão,1922-11-01,2018-09-05,5,12,198.93,true
8317,Huan Alter,Grão de Arroz,Ele comprou grão por grão,1978-01-05,1929-08-20,5,12,296.43,false
6087,Huan Zerton,Grão de Arroz,Ele comprou grão por grão,1986-08-05,1975-09-04,5,12,643.04,true
7757,Huan Alter,Grão de Arroz,Ele comprou grão por grão,1947-08-09,2004-08-08,5,12,386.93,false
5466,Eduardo,Grão de Arroz,Ele comprou grão por grão,1949-05-23,1927-09-20,5,12,877.63,true
6853,Ana Luiza,Grão de Arroz,Ele comprou grão por grão,1945-11-22,2022-02-17,5,12,424.30,true
5538,Eduardo Almeida,Grão de Arroz,Ele comprou grão por grão,1921-03-28,1941-04-11,5,12,364.53,false
6018,Eduardo Almeida,Grão de Arroz,Ele comprou grão por grão,1996-01-24,1954-08-22,5,12,771.07,false
1298,Eduardo,Grão de Arroz,Ele comprou grão por grão,1966-02-24,1957-08-16,5,12,277.21,true
8660,Eduardo,Grão de Arroz,Ele comprou grão por grão,1920-10-15,1988-02-26,5,12,37.15,true
5307,Huan Alter,Grão de Arroz,Ele comprou grão por grão,2001-08-08,1951-09-23,5,12,465.12,true
4569,Huan Alter,Grão de Arroz,Ele comprou grão por grão,2021-11-01,1917-07-03,5,12,366.94,true
3385,Ana Luiza,Grão de Arroz,Ele comprou grão por grão,2016-01-11,1996-04-06,5,12,569.57,false
