ID,Nome,Titulo,Descricao,Data Inicial,Data Final,Parcelas Pagas,Parcelas,Valor,Status
2,Élvis,Pokemon,,2023-12-21,2023-12-21,1,1,780.23,false
3,Élvis,Pokemon,,2023-12-21,2023-12-21,1,1,780.23,false
4,Élvis,Pokemon,,2023-12-21,2023-12-21,1,1,780.23,false
5,Élvis,Pokemon,,2023-12-21,2023-12-21,1,1,780.23,false
6,Élvis,Pokemon,,2023-12-21,2023-12-21,1,1,780.23,false
7,Élvis,Pokemon,,2023-12-21,2023-12-21,1,1,780.23,false
8,Élvis,Pokemon,,2023-12-21,2023-12-21,1,1,780.23,false
9,Élvis,Pokemon,,2023-12-21,2023-12-21,1,1,780.23,false
10,Élvis,Pokemon,,2023-12-21,2023-12-21,1,1,780.23,false
23,Nádia,Ração,,2023-12-21,2023-12-21,1,1,450.36,false
22,Nádia,Ração,,2023-12-21,2023-12-21,1,1,450.36,true
11,Élvis,Pokemon,,2023-12-21,2023-12-21,1,3,80.00,false
12,Élvis,Pokemon,,2023-12-21,2023-12-21,1,1,80.00,true
13,Élvis,Pokemon,,2023-12-21,2023-12-21,1,1,80.00,true
14,Élvis,Pokemon,,2023-12-21,2023-12-21,1,1,80.00,true
15,Élvis,Pokemon,,2023-12-21,2023-12-21,1,1,80.00,true
16,Élvis,Pokemon,,2023-12-21,2023-12-21,1,1,80.00,true
17,Élvis,Pokemon,,2023-12-21,2023-12-21,1,1,80.00,true
18,Élvis,Pokemon,,2023-12-21,2023-12-21,1,1,80.00,true
19,Élvis,Pokemon,,2023-12-21,2023-12-21,1,1,80.00,true
20,Élvis,Pokemon,,2023-12-21,2023-12-21,1,1,80.00,true
21,Élvis,Pokemon,,2023-12-21,2023-12-21,1,1,80.00,true
0,a,e,,2023-12-21,2023-12-21,1,1,1.00,false
1,Élvis,e,,2023-12-21,2023-12-21,1,1,1.00,false
