ID,Nome,Titulo,Descricao,Data Inicial,Data Final,Parcelas Pagas,Parcelas,Valor,Status
6519,Ana Luiza,Grão de Arroz,Ele comprou grão por grão,2004-02-21,1996-03-28,5,12,392.71,false
1841,Ana Luiza,Grão de Arroz,Ele comprou grão por grão,1995-01-01,1978-11-10,5,12,166.40,true
8571,Huan Zerton,Grão de Arroz,Ele comprou grão por grão,1986-02-01,1979-11-22,5,12,732.04,true
7879,Eduardo,Grão de Arroz,Ele comprou grão por grão,1922-01-07,1974-11-27,5,12,751.62,false
1722,Eduardo Almeida,Grão de Arroz,Ele comprou grão por grão,1945-07-15,1947-05-25,5,12,647.03,false
2161,Huan Zerton,Grão de Arroz,Ele comprou grão por grão,1933-05-10,1961-09-23,5,12,997.79,true
7675,Huan Zerton,Grão de Arroz,Ele comprou grão por grão,1942-07-07,1900-05-10,5,12,752.72,true
8011,Eduardo Almeida,Grão de Arroz,Ele comprou grão por grão,1912-05-26,1952-07-27,5,12,800.42,true
4796,Eduardo,Grão de Arroz,Ele comprou grão por grão,1994-07-11,1951-03-20,5,12,371.95,false
1992,Eduardo,Grão de Arroz,Ele comprou grão por grão,1952-02-01,2017-04-12,5,12,467.30,true
4087,Eduardo Almeida,Grão de Arroz,Ele comprou grão por grão,1995-07-03,1902-06-22,5,12,587.08,false
9095,Huan Zerton,Grão de Arroz,Ele comprou grão por grão,1914-08-02,1958-02-16,5,12,563.35,false
5644,Eduardo,Grão de Arroz,Ele comprou grão por grão,1970-04-19,1999-06-27,5,12,674.44,false
7166,Eduardo,Grão de Arroz,Ele comprou grão por grão,1942-04-07,1979-09-28,5,12,132.82,true
6060,Ana Luiza,Grão de Arroz,Ele comprou grão por grão,1976-06-17,1995-07-09,5,12,392.13,false
5810,Ana Luiza,Grão de Arroz,Ele comprou grão por grão,1948-03-07,1986-03-06,5,12,839.48,false
5899,Eduardo,Grão de Arroz,Ele comprou grão por grão,1953-05-21,1965-03-03,5,12,619.00,false
9152,Huan Zerton,Grão de Arroz,Ele comprou grão por grão,2010-05-06,1929-08-17,5,12,304.81,false
5977,Ana Luiza,Grão de Arroz,Ele comprou grão por grão,1910-01-02,2016-02-01,5,12,107.80,true
7644,Eduardo,Grão de Arroz,Ele comprou grão por grão,1978-11-04,1932-06-13,5,12,159.76,true
5090,Eduardo,Grão de Arroz,Ele comprou grão por grão,1940-08-15,1981-11-10,5,12,617.96,false
4675,Huan Alter,Grão de Arroz,Ele comprou grão por grão,1933-05-23,1991-03-12,5,12,788.16,true
4865,Eduardo Almeida,Grão de Arroz,Ele comprou grão por grão,1991-08-22,1917-11-08,5,12,16.11,false
4828,Ana Luiza,Grão de Arroz,Ele comprou grão por grão,1913-04-24,2012-10-21,5,12,849.12,true
1333,Huan Alter,Grão de Arroz,Ele comprou grão por grão,2008-10-28,1958-04-02,5,12,58.02,false
9874,Eduardo,Grão de Arroz,Ele comprou grão por grão,1960-09-13,1959-09-28,5,12,74.49,true
6701,Ana Luiza,Grão de Arroz,Ele comprou grão por grão,1950-07-05,1968-07-25,5,12,917.83,false
2957,Ana Luiza,Grão de Arroz,Ele comprou grão por grão,1907-01-16,1912-09-19,5,12,729.69,true
7288,Huan Alter,Grão de Arroz,Ele comprou grão por grão,1971-01-26,1938-11-12,5,12,943.19,false
1832,Ana Luiza,Grão de Arroz,Ele comprou grão por grão,1928-09-13,1959-09-22,5,12,78.83,false
5431,Huan Alter,Grão de Arroz,Ele comprou grão por grão,1979-08-16,1909-05-18,5,12,139.25,false
7010,Huan Alter,Grão de Arroz,Ele comprou grão por grão,1962-11-17,2009-05-18,5,12,358.61,false
1882,Huan Zerton,Grão de Arroz,Ele comprou grão por grão,1977-06-03,1937-11-09,5,12,876.39,false
7352,Eduardo,Grão de Arroz,Ele comprou grão por grão,1914-05-03,1905-03-14,5,12,393.80,true
3262,Eduardo Almeida,Grão de Arroz,Ele comprou grão por grão,1994-03-07,1916-01-10,5,12,673.75,false
9801,Huan Zerton,Grão de Arroz,Ele comprou grão por grão,2016-08-10,1995-05-17,5,12,410.20,true
8896,Huan Zerton,Grão de Arroz,Ele comprou grão por grão,1903-02-20,1920-01-05,5,12,762.96,false
7650,Huan Alter,Grão de Arroz,Ele comprou grão por grão,1924-07-25,1986-02-03,5,12,785.37,true
9753,Huan Zerton,Grão de Arroz,Ele comprou grão por grão,2001-05-02,1934-10-27,5,12,888.08,true
1959,Huan Zerton,Grão de Arroz,Ele comprou grão por grão,2010-10-26,1971-04-12,5,12,665.14,false
4498,Eduardo Almeida,Grão de Arroz,Ele comprou grão por grão,1952-02-17,2015-04-16,5,12,987.66,false
9707,Huan Zerton,Grão de Arroz,Ele comprou grão por grão,1995-07-08,1901-02-09,5,12,704.90,true
8457,Ana Luiza,Grão de Arroz,Ele comprou grão por grão,1952-01-13,1928-08-10,5,12,135.66,true
4945,Eduardo,Grão de Arroz,Ele comprou grão por grão,2012-10-12,2015-02-22,5,12,850.63,true
9577,Huan Alter,Grão de Arroz,Ele comprou grão por grão,1904-04-03,1994-07-19,5,12,664.40,true
5432,Eduardo Almeida,Grão de Arroz,Ele comprou grão por grão,1918-02-03,1954-07-28,5,12,35.42,true
8163,Eduardo Almeida,Grão de Arroz,Ele comprou grão por grão,1929-03-02,1931-05-06,5,12,270.72,false
2909,Huan Alter,Grão de Arroz,Ele comprou grão por grão,1987-01-25,1914-08-03,5,12,233.88,false
5413,Eduardo,Grão de Arroz,Ele comprou grão por grão,1937-02-08,1998-09-07,5,12,268.96,false
9917,Eduardo Almeida,Grão de Arroz,Ele comprou grão por grão,1908-07-13,1983-03-04,5,12,663.27,false
7118,Eduardo Almeida,Grão de Arroz,Ele comprou grão por grão,1941-07-04,2014-05-07,5,12,263.08,false
7476,Ana Luiza,Grão de Arroz,Ele comprou grão por grão,1951-08-18,1974-11-27,5,12,174.41,false
6190,Ana Luiza,Grão de Arroz,Ele comprou grão por grão,1911-03-10,1967-09-05,5,12,2.51,false
3034,Huan Alter,Grão de Arroz,Ele comprou grão por grão,1940-06-17,1974-01-01,5,12,368.19,false
5064,Huan Zerton,Grão de Arroz,Ele comprou grão por grão,1927-05-16,2003-02-01,5,12,144.25,true
9146,Huan Alter,Grão de Arroz,Ele comprou grão por grão,1922-01-24,2003-09-07,5,12,152.69,false
3624,Huan Alter,Grão de Arroz,Ele comprou grão por grão,2014-02-04,1991-08-23,5,12,507.34,false
8869,Huan Alter,Grão de Arroz,Ele comprou grão por grão,1942-09-16,1993-05-28,5,12,176.82,false
9625,Huan Alter,Grão de Arroz,Ele comprou grão por grão,2003-05-19,1958-11-26,5,12,612.23,true
1735,Ana Luiza,Grão de Arroz,Ele comprou grão por grão,1968-11-04,1956-07-06,5,12,120.76,false
2707,Ana Luiza,Grão de Arroz,Ele comprou grão por grão,1944-04-15,1946-03-21,5,12,172.73,true
1731,Ana Luiza,Grão de Arroz,Ele comprou grão por grão,1948-04-23,1957-07-04,5,12,387.04,true
5404,Eduardo Almeida,Grão de Arroz,Ele comprou grão por grão,1984-01-16,1914-03-03,5,12,392.70,false
2029,Huan Zerton,Grão de Arroz,Ele comprou grão por grão,1994-06-14,1948-06-06,5,12,783.70,true
8423,Eduardo Almeida,Grão de Arroz,Ele comprou grão por grão,1995-02-26,1949-11-04,5,12,127.27,true
6277,Eduardo Almeida,Grão de Arroz,Ele comprou grão por grão,1957-09-03,1977-02-20,5,12,240.45,false
7662,Ana Luiza,Grão de Arroz,Ele comprou grão por grão,1907-07-18,1904-10-27,5,12,714.02,false
9129,Eduardo,Grão de Arroz,Ele comprou grão por grão,1954-05-11,1955-07-24,5,12,366.97,true
1130,Huan Zerton,Grão de Arroz,Ele comprou grão por grão,1916-03-23,1919-02-11,5,12,126.15,true
6252,Eduardo Almeida,Grão de Arroz,Ele comprou grão por grão,1907-05-21,1955-11-27,5,12,929.62,false
3695,Ana Luiza,Grão de Arroz,Ele comprou grão por grão,1924-04-23,2008-09-22,5,12,993.43,false
7397,Eduardo,Grão de Arroz,Ele comprou grão por grão,2022-11-19,2018-11-17,5,12,584.06,true
4120,Ana Luiza,Grão de Arroz,Ele comprou grão por grão,1956-10-13,1935-03-21,5,12,805.21,true
1401,Eduardo Almeida,Grão de Arroz,Ele comprou grão por grão,2015-03-01,1978-04-07,5,12,145.08,false
1310,Huan Alter,Grão de Arroz,Ele comprou grão por grão,1965-04-27,1954-04-06,5,12,663.65,true
9252,Huan Alter,Grão de Arroz,Ele comprou grão por grão,1948-05-01,2017-06-17,5,12,839.42,false
9919,Huan Zerton,Grão de Arroz,Ele comprou grão por grão,1916-10-13,2002-06-01,5,12,697.24,true
3753,Huan Alter,Grão de Arroz,Ele comprou grão por grão,1938-06-21,1980-08-16,5,12,584.99,true
4930,Huan Zerton,Grão de Arroz,Ele comprou grão por grão,1993-09-18,1938-06-18,5,12,40.78,true
9856,Huan Alter,Grão de Arroz,Ele comprou grão por grão,1935-05-17,1942-10-06,5,12,599.53,false
8721,Ana Luiza,Grão de Arroz,Ele comprou grão por grão,2021-08-08,1904-06-04,5,12,262.62,true
8890,Huan Zerton,Grão de Arroz,Ele comprou grão por grão,1972-04-19,1972-11-04,5,12,548.96,true
2061,Eduardo Almeida,Grão de Arroz,Ele comprou grão por grão,1946-04-13,1945-06-22,5,12,158.13,true
8712,Eduardo Almeida,Grão de Arroz,Ele comprou grão por grão,1950-04-19,1998-09-21,5,12,472.59,true
7473,Eduardo Almeida,Grão de Arroz,Ele comprou grão por grão,1920-02-11,1981-03-16,5,12,788.61,true
5280,Eduardo Almeida,Grão de Arroz,Ele comprou grão por grão,1977-11-07,1965-04-04,5,12,942.46,true
8670,Huan Alter,Grão de Arroz,Ele comprou grão por grão,2021-02-12,2006-10-15,5,12,571.76,false
3556,Eduardo Almeida,Grão de Arroz,Ele comprou grão por grão,1942-06-02,1925-05-14,5,12,192.65,false
5453,Huan Alter,Grão de Arroz,Ele comprou grão por grão,1953-03-17,1978-05-08,5,12,497.07,true
7644,Ana Luiza,Grão de Arroz,Ele comprou grão por grão,1974-01-19,1972-07-05,5,12,469.98,false
3817,Eduardo Almeida,Grão de Arroz,Ele comprou grão por grão,1949-10-11,2021-10-10,5,12,599.10,false
7490,Eduardo Almeida,Grão de Arroz,Ele comprou grão por grão,1909-04-21,2016-01-15,5,12,791.87,true
6962,Huan Zerton,Grão de Arroz,Ele comprou grão por grão,1912-01-18,2003-08-16,5,12,228.90,false
7326,Eduardo,Grão de Arroz,Ele comprou grão por grão,1929-03-10,1919-03-12,5,12,307.20,true
3319,Ana Luiza,Grão de Arroz,Ele comprou grão por grão,2018-08-08,1995-03-24,5,12,408.22,true
9919,Eduardo Almeida,Grão de Arroz,Ele comprou grão por grão,2017-01-10,1979-03-13,5,12,996.08,true
7498,Huan Alter,Grão de Arroz,Ele comprou grão por grão,1977-08-15,1934-04-17,5,12,373.39,false
3480,Huan Zerton,Grão de Arroz,Ele comprou grão por grão,1980-06-15,2004-08-19,5,12,452.84,false
5484,Ana Luiza,Grão de Arroz,Ele comprou grão por grão,1950-09-24,1916-05-15,5,12,655.35,false
7150,Huan Zerton,Grão de Arroz,Ele comprou grão por grão,2012-05-18,1935-07-25,5,12,71.72,true
5734,Eduardo Almeida,Grão de Arroz,Ele comprou grão por grão,1996-03-14,1981-02-04,5,12,867.89,false
1750,Ana Luiza,Grão de Arroz,Ele comprou grão por grão,1927-02-22,1962-01-21,5,12,209.71,false
5669,Eduardo Almeida,Grão de Arroz,Ele comprou grão por grão,1952-10-27,1901-09-10,5,12,232.28,false
7505,Huan Zerton,Grão de Arroz,Ele comprou grão por grão,2016-07-11,1903-05-07,5,12,935.61,true
3657,Huan Zerton,Grão de Arroz,Ele comprou grão por grão,2021-09-15,1934-10-18,5,12,742.75,false
4528,Huan Alter,Grão de Arroz,Ele comprou grão por grão,1960-04-05,2014-10-10,5,12,5.66,true
4958,Eduardo Almeida,Grão de Arroz,Ele comprou grão por grão,2006-09-13,1947-11-19,5,12,477.25,false
9392,Eduardo Almeida,Grão de Arroz,Ele comprou grão por grão,2008-10-04,1960-08-02,5,12,442.08,true
4292,Ana Luiza,Grão de Arroz,Ele comprou grão por grão,1961-10-19,1986-10-12,5,12,260.03,false
